what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363645858465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363645869070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363645915483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363645924455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363645942265
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1363645953006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363645958044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363645959413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646049054
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646052784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646058298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646110893
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363646113267
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646113621
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646113718
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363646118887
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646119175
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363646132389
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646132766
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646132930
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363646134812
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646135308
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646135411
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363646136332
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646136680
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646136793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646142449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646172271
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646175360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363646209344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646211705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646213804
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646216225
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646232348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646240360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646291409
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646294094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363646298030
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646302645
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646315541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363646348764
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646351463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363646373695
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646381492
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646387284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363646405300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646406383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646414015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646419275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646425085
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1363646430210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646453106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646607815
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363646609511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363646690557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646695037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646701473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363646704310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363646704760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363646723653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646727836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363646729834
